InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C15H12ClN3O2/c16-12-4-2-1-3-10(12)15-11-7-9(19-21)5-6-13(11)18-14(20)8-17-15/h1-7,19,21H,8H2,(H,18,20)",HGZYURMAFPBHKM-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)NO)C(=N1)C3=CC=CC=C3Cl,,,C15H12ClN3O2,301.061804304,2.425,0,1,1,BTM00001,BTM00001,Nitroreduction of nitroarene to hydroxylamine,BTMR1222,EC 1.6.2.4,HUMAN,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
"InChI=1S/C15H10ClN3O4/c16-10-4-2-1-3-8(10)15-9-5-12(19(22)23)13(20)6-11(9)18-14(21)7-17-15/h1-6,20H,7H2,(H,18,21)",OMSIPYYPQIIYKT-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C(=C2)O)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,,,C15H10ClN3O4,331.03598348,2.8059,0,0,0,BTM00002,BTM00002,Aromatic hydroxylation of fused benzene ring,BTMR1030,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
"InChI=1S/C15H10ClN3O4/c16-11-4-2-1-3-9(11)13-10-7-8(19(22)23)5-6-12(10)17-14(20)15(21)18-13/h1-7,15,21H,(H,17,20)",PXYFSCYZVIJNHG-UHFFFAOYSA-N,C1(C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl)O,,,C15H10ClN3O4,331.03598348,2.7336,0,0,0,BTM00003,BTM00003,"3-Hydroxylation of 5-aryl-1,4-benzodiazepine",BTMR1082,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
"InChI=1S/C15H10ClN3O4/c16-10-2-1-3-12(20)14(10)15-9-6-8(19(22)23)4-5-11(9)18-13(21)7-17-15/h1-6,20H,7H2,(H,18,21)",ZRWBYINDKGMKEO-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=C(C=CC=C3Cl)O,,,C15H10ClN3O4,331.03598348,2.8059,0,0,0,BTM00004,BTM00004,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
"InChI=1S/C15H10ClN3O4/c16-12-3-2-9(20)6-10(12)15-11-5-8(19(22)23)1-4-13(11)18-14(21)7-17-15/h1-6,20H,7H2,(H,18,21)",DMCBAZODXSRSEQ-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC(=CC=C3Cl)O,,,C15H10ClN3O4,331.03598348,2.8059,0,0,0,BTM00005,BTM00005,Hydroxylation of aromatic carbon para to halide group,BTMR1041,"CYP1A2
CYP2E1
CYP3A4",HUMAN,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
"InChI=1S/C15H10ClN3O4/c16-12-6-9(20)2-3-10(12)15-11-5-8(19(22)23)1-4-13(11)18-14(21)7-17-15/h1-6,20H,7H2,(H,18,21)",ZIUOTKPDMUQLOP-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=C(C=C3Cl)O,,,C15H10ClN3O4,331.03598348,2.8059,0,0,0,BTM00006,BTM00006,Hydroxylation of benzene on carbon para to electron donating group,BTMR1047,"CYP1A2
CYP2C8
CYP2C9
CYP2D6
CYP3A4",HUMAN,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
"InChI=1S/C15H10ClN3O4/c16-11-4-2-1-3-9(11)14-10-5-8(19(22)23)6-12(20)15(10)18-13(21)7-17-14/h1-6,20H,7H2,(H,18,21)",ZLSDFEOVUAVIEJ-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2O)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,,,C15H10ClN3O4,331.03598347999997,2.8059,0,0,0,BTM00007,BTM00007,Aromatic hydroxylation of fused benzene ring,BTMR1031,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
"InChI=1S/C15H10ClN3O4/c16-9-4-2-1-3-8(9)14-13-10(18-12(20)7-17-14)5-6-11(15(13)21)19(22)23/h1-6,21H,7H2,(H,18,20)",MUJHTCQFBHYHIJ-UHFFFAOYSA-N,C1C(=O)NC2=C(C(=C(C=C2)[N+](=O)[O-])O)C(=N1)C3=CC=CC=C3Cl,,,C15H10ClN3O4,331.03598347999997,2.8059,0,0,0,BTM00008,BTM00008,Aromatic hydroxylation of fused benzene ring,BTMR1032,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
"InChI=1S/C15H10ClN3O4/c16-14-9(2-1-3-12(14)20)15-10-6-8(19(22)23)4-5-11(10)18-13(21)7-17-15/h1-6,20H,7H2,(H,18,21)",KSVBRXZJIDWTTK-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC(=C3Cl)O,,,C15H10ClN3O4,331.03598347999997,2.8059,0,0,0,BTM00009,BTM00009,Hydroxylation of aromatic carbon ortho to halide group,BTMR1040,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
"InChI=1S/C15H10ClN3O2/c16-12-4-2-1-3-10(12)15-11-7-9(19-21)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",GDBQTNMHDKCSRW-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)N=O)C(=N1)C3=CC=CC=C3Cl,,,C15H10ClN3O2,299.04615424,3.425299999999999,0,0,0,BTM00010,BTM00010,Nitroreduction of nitroarene to nitrosoarene,BTMR1293,Bacterial oxygen-insensitive NADPH nitroreductase,GUTMICRO,,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",DGBIGWXXNGSACT-UHFFFAOYSA-N,,315.0410
